rank,dist_lgd,district,state_lgd,state_ut,sub_dist,subdis_lg,subdis_ty,vill_cat,vill_lgd,vill_name,src_state,src_file,objectid,ntl_2021,ntl_latest,ntl_abs_growth,ntl_abs_growth_clean,ntl_pct_growth_clean,shp_area,shp_leng
39,384.0,ANGUL,21.0,ODISHA,TALCHER,6585.0,Tehsil,Rural,404025.0,BANGU,ODISHA,ODISHA\ODISHA.shp,80178.0,8.171085956,64.3242362,56.15315024,56.15315024,687.2177155,337266.7654,2308.440815
40,391.0,BOUDH,21.0,ODISHA,HARABHANGA,6664.0,Tehsil,Rural,418441.0,MAHAKURAPALI,ODISHA,ODISHA\ODISHA.shp,93172.0,0.336894208,2.649960587,2.313066379,2.313066379,686.5853808,1702754.34,6210.015118
41,374.0,SUNDARGARH,21.0,ODISHA,KOIDA,6474.0,Tehsil,Rural,384802.0,KRIAKUDAR,ODISHA,ODISHA\ODISHA.shp,34898.0,0.61740568,4.844700141,4.227294461,4.227294461,684.6866816,2102478.302,6253.491152
42,438.0,DHAR,23.0,MADHYA PRADESH,DHARAMPURI,3539.0,TAHSIL,Rural,475845.0,Jetapur,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,24756.0,1.789570652,14.03566136,12.24609071,12.24609071,684.303282,3864377.144,8021.22094
43,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487126.0,Rasi,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36588.0,0.535993428,4.197843038,3.66184961,3.66184961,683.1892741,5100903.346,10348.23394
44,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487256.0,Kishanpur,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36545.0,0.477321993,3.711171734,3.233849741,3.233849741,677.498584,923460.5313,4787.670358
45,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487158.0,Kans khedi,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36597.0,0.581015129,4.516297125,3.935281997,3.935281997,677.3114506,5473037.371,12309.10232
46,463.0,SINGRAULI,23.0,MADHYA PRADESH,SARAI,6826.0,TAHSIL,Rural,504046.0,BELWAR,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,2505.0,0.83017622,6.443120411,5.61294419,5.61294419,676.1147877,1429133.029,5457.189497
47,386.0,KHORDHA,21.0,ODISHA,BEGUNIA,6600.0,Tehsil,Rural,407212.0,GOLAPATANA,ODISHA,ODISHA\ODISHA.shp,59490.0,0.618112413,4.746584637,4.128472225,4.128472225,667.9160846,1589887.661,8308.552531
48,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487186.0,Mahuadhana,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36602.0,0.503400927,3.851053064,3.347652137,3.347652137,665.0071457,5536147.549,13365.98021
49,446.0,RAISEN,23.0,MADHYA PRADESH,RAISEN,3590.0,TAHSIL,Rural,483680.0,Nonakhedi,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,16561.0,1.645952653,12.5712912,10.92533855,10.92533855,663.7699165,1328364.539,6055.392582
50,463.0,SINGRAULI,23.0,MADHYA PRADESH,BARGAWAN,7397.0,TAHSIL,Rural,503894.0,PIDARWAH,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,10146.0,0.658580244,5.008319374,4.34973913,4.34973913,660.4721552,7632219.952,35294.2343
51,667.0,AGAR MALWA,23.0,MADHYA PRADESH,AGAR,3518.0,TAHSIL,Rural,472587.0,PIPALYA KUMAR,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,22156.0,0.654587273,4.927733133,4.273145859,4.273145859,652.8000214,3632290.902,7585.651615
52,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487184.0,B-jamani,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36599.0,0.553475504,4.155685025,3.602209521,3.602209521,650.8344986,6698206.755,14996.85684
53,445.0,SEHORE,23.0,MADHYA PRADESH,NASRULLAGANJ,3587.0,TAHSIL,Rural,483407.0,Chich,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,17452.0,0.950028877,7.067062932,6.117034055,6.117034055,643.8787494,8668474.01,15980.6724
54,384.0,ANGUL,21.0,ODISHA,TALCHER,6585.0,Tehsil,Rural,404024.0,NUAPADA,ODISHA,ODISHA\ODISHA.shp,80183.0,6.21036213,45.267694,39.05733187,39.05733187,628.9058682,248960.5778,2395.080083
55,87.0,NUH,6.0,HARYANA,Indri ST,,TEHSIL,RURAL,63079.0,HILALPUR,HARYANA,HARYANA\Latest village boundary_HARYANA\HARYANA\HARYANA.shp,1594.0,1.799527497,13.08317505,11.28364755,11.28364755,627.0339059,3608575.845,9721.375547
56,448.0,HARDA,23.0,MADHYA PRADESH,TIMARNI,3610.0,TAHSIL,Rural,486970.0,SAMARDHA,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,13558.0,0.767471288,5.573551841,4.806080553,4.806080553,626.2228472,8255128.215,13333.68833
57,447.0,BETUL,23.0,MADHYA PRADESH,MULTAI,3604.0,TAHSIL,Rural,486122.0,Humanpeth,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,35632.0,0.388171167,2.787299853,2.399128685,2.399128685,618.0594766,9382497.09,13095.7267
58,398.0,KORAPUT,21.0,ODISHA,POTTANGI,6737.0,Tehsil,Rural,430076.0,CHANDAKA,ODISHA,ODISHA\ODISHA.shp,22500.0,0.389675833,2.79460761,2.404931777,2.404931777,617.162157,3489223.805,13340.78068
59,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487127.0,Lodhdi,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36590.0,0.56444197,4.042790881,3.478348911,3.478348911,616.245619,3553473.952,10384.45622
60,384.0,ANGUL,21.0,ODISHA,TALCHER,6585.0,Tehsil,Rural,404091.0,THARMAL,ODISHA,ODISHA\ODISHA.shp,80181.0,6.030057598,43.08428559,37.05422799,37.05422799,614.4921071,1655599.287,7517.901306
61,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SHIVPUR,3612.0,TAHSIL,Rural,487121.0,Borata,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36586.0,0.610758147,4.362855303,3.752097157,3.752097157,614.334361,3614366.267,14670.64504
62,767.0,PANDHURNA,23.0,MADHYA PRADESH,SAUSAR,3656.0,TAHSIL,Rural,495196.0,SILORA,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,44497.0,0.355609075,2.52375055,2.168141475,2.168141475,609.6980168,2307762.844,6981.977765
63,435.0,UJJAIN,23.0,MADHYA PRADESH,UJJAIN,3513.0,TAHSIL,Rural,471949.0,Madhopur,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,30401.0,1.508892878,10.52132448,9.0124316,9.0124316,597.2877022,1882181.067,5666.048845
64,445.0,SEHORE,23.0,MADHYA PRADESH,REHTI,3589.0,TAHSIL,Rural,483597.0,Khadli,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,17523.0,0.838165861,5.773696149,4.935530287,4.935530287,588.8488801,3079119.988,7620.98811
65,601.0,Thiruvananthapuram,32.0,KERALA,Neyyattinkara,5692.0,Taluk,Fully_Urban,628538.0,Vizhinjam (Part),KERALA (1),KERALA (1)\KERALA.shp,309.0,2.794090582,19.06985112,16.27576054,16.27576054,582.5065459,12614477.73,21064.12524
66,372.0,SAMBALPUR,21.0,ODISHA,NAKTIDEUL,6453.0,Tehsil,Rural,382099.0,MANGALAPUR,ODISHA,ODISHA\ODISHA.shp,62088.0,0.312466058,2.129087322,1.816621264,1.816621264,581.3819514,1403927.846,5956.583128
67,388.0,GANJAM,21.0,ODISHA,CHHATRAPUR,6638.0,Tehsil,Rural,412157.0,KALIPALLI,ODISHA,ODISHA\ODISHA.shp,100088.0,1.685033045,11.44121295,9.756179905,9.756179905,578.99042,1042533.609,4522.92354
68,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SHIVPUR,3612.0,TAHSIL,Rural,487163.0,Nawalgaon,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36632.0,0.515861489,3.48375446,2.967892971,2.967892971,575.3274927,5582174.269,10777.21651
69,463.0,SINGRAULI,23.0,MADHYA PRADESH,SARAI,6826.0,TAHSIL,Rural,504044.0,MAJHAULI PATH,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,2504.0,0.984255086,6.599668995,5.615413909,5.615413909,570.5242461,1993160.516,6777.420866
70,438.0,DHAR,23.0,MADHYA PRADESH,DHARAMPURI,3539.0,TAHSIL,Rural,475895.0,Palasya,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,24759.0,1.097534327,7.311571382,6.214037055,6.214037055,566.1815676,6409872.981,11652.99002
71,445.0,SEHORE,23.0,MADHYA PRADESH,REHTI,3589.0,TAHSIL,Rural,483606.0,Nehlai,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,17497.0,0.682535715,4.438769957,3.756234242,3.756234242,550.3351924,2566658.679,9206.140983
72,375.0,KEONJHAR,21.0,ODISHA,KEONJHAR SADAR,6479.0,Tehsil,Rural,386249.0,SANKARI,ODISHA,ODISHA\ODISHA.shp,56347.0,0.551691874,3.575544749,3.023852874,3.023852874,548.1053854,5038787.099,9483.756447
73,373.0,DEOGARH,21.0,ODISHA,BARKOTE,6456.0,Tehsil,Rural,382846.0,SHALBERNI,ODISHA,ODISHA\ODISHA.shp,83265.0,0.410197889,2.630598974,2.220401085,2.220401085,541.2999791,1275793.744,5272.081523
74,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487255.0,Gotabarri,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36544.0,0.443891666,2.838896152,2.395004486,2.395004486,539.5470723,2235826.884,7301.978552
75,445.0,SEHORE,23.0,MADHYA PRADESH,REHTI,3589.0,TAHSIL,Rural,483562.0,Nadia kheda khalsa,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,17488.0,0.799630577,5.05090999,4.251279414,4.251279414,531.6554341,2862908.393,8231.218178
76,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SHIVPUR,7444.0,TAHSIL,Rural,487148.0,Amlada khurd,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36639.0,0.487658473,3.036826208,2.549167736,2.549167736,522.7362752,7082294.099,11512.17121
77,425.0,CHHATARPUR,23.0,MADHYA PRADESH,BIJAWAR,3433.0,TAHSIL,Rural,458368.0,CHAPNER,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,53481.0,0.420125281,2.599754907,2.179629626,2.179629626,518.8046813,6193508.125,11529.55484
78,450.0,KATNI,23.0,MADHYA PRADESH,KATNI NAGAR,6807.0,TAHSIL,Rural,777520.0,JHINJHRI,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,58283.0,2.713387609,16.74911386,14.03572625,14.03572625,517.2768609,502832.0026,5867.434928
79,372.0,SAMBALPUR,21.0,ODISHA,NAKTIDEUL,6453.0,Tehsil,Rural,382098.0,KHOLAGARH,ODISHA,ODISHA\ODISHA.shp,62094.0,0.295351458,1.821218321,1.525866863,1.525866863,516.6275024,3498201.687,10425.09757
